path	type	mode	uid	gid	size	sha256	linkTarget
bin	directory	755	0	0	-	-	-
bin/capsule-deno-core-physical-omission	file	755	0	0	68497544	597baba6b9f50fc619ce667a352e19686f8c73efc6819d137b3c4081450fd6f5	-
fixtures	directory	755	0	0	-	-	-
fixtures/input.json	file	644	0	0	50	dcca912dd4ddd9c93c1efd3e6aecf33dd2d0c0ef75b36d0b8acf89cae752264a	-
fixtures/nominal.js	file	644	0	0	159	a236a49337021c709875a6e921910418f8801b78627e504aaf93a5bb636622ca	-
lib	directory	755	0	0	-	-	-
lib/aarch64-linux-gnu	directory	755	0	0	-	-	-
lib/aarch64-linux-gnu/ld-linux-aarch64.so.1	file	755	0	0	202912	17538b8f9889a470c061f69a8fea8124da89627311cd16546c133a89f09056df	-
lib/aarch64-linux-gnu/libc.so.6	file	644	0	0	1651408	e4ac8ae1d81e4865e3aadedb962879cf9415903b3f2ba81ec75e9962b86ab8b0	-
lib/aarch64-linux-gnu/libgcc_s.so.1	file	644	0	0	133448	046856f95f4636f1fc7c3a12bf4f3cd5634c2fc5145c3fdf7395d4f349fa69c7	-
lib/aarch64-linux-gnu/libm.so.6	file	644	0	0	591960	3c4cb3be0b974edf05f023f85ab15107fb5afc2687163593d0d4cf8e80c17b39	-
lib/ld-linux-aarch64.so.1	symlink	755	0	0	39	8f5d71dfa5070a28dd64d8d3694da7521290a475809f29b01ed81ffa4984584b	aarch64-linux-gnu/ld-linux-aarch64.so.1
share	directory	755	0	0	-	-	-
share/capsule-deno-core	directory	755	0	0	-	-	-
share/capsule-deno-core/capsule_core_snapshot.bin	file	644	0	0	699980	ef5f1e7883bbf62a6422957ff0eea51a06d4b35cad1f47dc9c9ae137ab8dfa0b	-
usr	directory	755	0	0	-	-	-
usr/share	directory	755	0	0	-	-	-
usr/share/doc	directory	755	0	0	-	-	-
usr/share/doc/gcc-12-base	directory	755	0	0	-	-	-
usr/share/doc/gcc-12-base/copyright	file	644	0	0	68194	da8191658b3452ce9caf31638ba61dab31a38c619fa39df119812e050f592fd3	-
usr/share/doc/libc6	directory	755	0	0	-	-	-
usr/share/doc/libc6/copyright	file	644	0	0	25467	40c7e1f2118531f038ca22999bd976901254e1bc5cd1b0f0211bdd064c599987	-
