id	m1_expected	owned_layer	parse	combined_policy	static_import	export_from	import_expression	import_meta	free_commonjs_references	agrees	fixture_sha256
property-import-meta	allow	module-grammar	valid	allow	0	0	0	0	0	true	9328f4f497d8615dbff886fa141f4531a37dd4eca7c5293012744568d1f93dc1
method-import	allow	module-grammar	valid	allow	0	0	0	0	0	true	87e3e4470ff42c9ea7f33ada365a3677e307b3598dace1dd5c05db3be698e6c2
template-interpolation-import	deny	module-grammar	valid	deny	0	0	1	0	0	true	ce6ea8f685f6d84fe2476e7db953ea659240785e2721e0e4fbcee9749a7b81f4
eval-string-data	allow	module-grammar	valid	allow	0	0	0	0	0	true	9b89c1cbf0cb542cab03b271a5224e4cbc86be1671761deedf8fd1dcd9806dd6
division-regexp-counterexample	deny	module-grammar	valid	deny	0	0	1	0	0	true	f5d7998154870fabd6f99ccc53c88e4f9edbe82bf50d63abd8e5db6138b663a1
static-import	deny	module-grammar	valid	deny	1	0	0	0	0	true	ad05f9160760122a37b1b42df1bcf10a1c4635fcd52357d57c7cbaed34186a11
side-effect-import	deny	module-grammar	valid	deny	1	0	0	0	0	true	ecc69fcf2b72b3d11d965b40d7fa4a39797c3a2aabd6134f41d2c987383921c3
export-from	deny	module-grammar	valid	deny	0	1	0	0	0	true	f630d6ce720ab59b5e1c35ba5e57191a48319eb97440fbe3918c31fe2d1481c4
export-star	deny	module-grammar	valid	deny	0	1	0	0	0	true	a6678b882109909bc79804e5c9064d3eb88ae49a184f5e267e0a29463215b94c
import-meta	deny	module-grammar	valid	deny	0	0	0	1	0	true	56c52866834e54fe37a2c43a1be0881e18bf56bb9933cbd1f80903427acd8417
specifier-absolute	deny	module-grammar	valid	deny	0	0	1	0	0	true	0322e63cd297a01087b977f0ddbe528cda3d09d2438c2b9903bd680ba53a05f7
specifier-bare	deny	module-grammar	valid	deny	0	0	1	0	0	true	e0a88136daac69a1175b36adbc81df30888b22260886a750dd7c008ac7a81769
specifier-node	deny	module-grammar	valid	deny	0	0	1	0	0	true	578831f89a74e01acd670de816d6aa5dbc3bed18889f2e5c0a11f863a0795124
specifier-npm	deny	module-grammar	valid	deny	0	0	1	0	0	true	98b0cc6daa01075073dfec85862d3932823eb3849836c35c904a1a60d8a66d38
specifier-http	deny	module-grammar	valid	deny	0	0	1	0	0	true	1ef13c1e4b0838e0723a00c48226a7353bff1926df54dd827c096db6ea8d97da
specifier-https	deny	module-grammar	valid	deny	0	0	1	0	0	true	d8b27dc77cc5094bd09dcc4c70bd83cea76da190cc0288909bf9bf40f02a7c95
specifier-data	deny	module-grammar	valid	deny	0	0	1	0	0	true	65bbc0ea60b551f5c27915cc0c43f66eeae4a402920bac6d9e9b68ffd378a621
specifier-blob	deny	module-grammar	valid	deny	0	0	1	0	0	true	5c30fe5817637cfee835ab9aa6efd1c132b4e875c98bb54a8648aad7ef09edf7
specifier-file	deny	module-grammar	valid	deny	0	0	1	0	0	true	bb07ed52bfe84e902e8a7b91c7b02a2b4a2598c1692142704438e6d712676c81
specifier-capsule	deny	module-grammar	valid	deny	0	0	1	0	0	true	c167dbcfd8a1a25989265f79164d0e89ef1300afa998142febbb65cf5a3b5a90
commonjs-require	deny	semantic-free-commonjs-reference	valid	deny	0	0	0	0	1	true	44485fdd7e95cf42ac33d888c8a8ef69d72e25598725db6454844a2e4454e756
commonjs-require-resolve	deny	semantic-free-commonjs-reference	valid	deny	0	0	0	0	1	true	e651af8fde44e8f26a91e173ca58137506c59251ed63f71123b8c3dce339b662
commonjs-module-exports	deny	semantic-free-commonjs-reference	valid	deny	0	0	0	0	1	true	8222b8169ee86f25cdccd84d340340060ae3f0cff55e2ea9d344d7c332733b71
commonjs-exports	deny	semantic-free-commonjs-reference	valid	deny	0	0	0	0	1	true	58ed80237f90130317f771ecd7947b0fcdee9ddc43f64124d2d66fa5300b759b
commonjs-dirname	deny	semantic-free-commonjs-reference	valid	deny	0	0	0	0	1	true	70f9fc3ac2057d9d1333565c82631ce28f62e165001065ee3bdbccc611a8360e
commonjs-filename	deny	semantic-free-commonjs-reference	valid	deny	0	0	0	0	1	true	55b4ab8534157a2a34addf51a5f414bb141d029ee0ffc9b216b1afb6fd451489
local-export	allow	module-grammar	valid	allow	0	0	0	0	0	true	0489451e8c21cf12663b93f272e3ad33f39ac62c552f5af9a79507a2ee61c476
noncode-spellings	allow	module-grammar	valid	allow	0	0	0	0	0	true	2a13c56546e92c798f25e8398a0c627b97a7f0c115d5478b882776ce25260032
