# id	parse	policy	static_import	export_from	import_expression	import_meta	provenance
allow-empty	valid	allow	0	0	0	0	capsule
allow-cap-exact	valid	allow	0	0	0	0	adr-0034-boundary
deny-cap-plus-one	too_large	deny	0	0	0	0	adr-0034-boundary
deny-invalid-utf8	invalid_utf8	deny	0	0	0	0	adr-0034-strict-utf8
allow-local-export	valid	allow	0	0	0	0	capsule
allow-object-property-import-meta	valid	allow	0	0	0	0	mandatory-scanner-counterexample
allow-object-method-import	valid	allow	0	0	0	0	mandatory-ecmascript-grammar-case
allow-string-comment-lookalikes	valid	allow	0	0	0	0	capsule-review
allow-regex-lookalike	valid	allow	0	0	0	0	capsule-review
allow-eval-string-data	valid	allow	0	0	0	0	mandatory-layering-case
allow-shadowed-commonjs	valid	allow	0	0	0	0	capsule-commonjs-scope-control
deny-static-import	valid	deny	1	0	0	0	test262-derived
deny-side-effect-import	valid	deny	1	0	0	0	test262-derived
deny-export-named-from	valid	deny	0	1	0	0	test262-derived
deny-export-all-from	valid	deny	0	1	0	0	test262-derived
deny-dynamic-import	valid	deny	0	0	1	0	test262-derived
deny-dynamic-computed	valid	deny	0	0	1	0	test262-derived
deny-import-meta	valid	deny	0	0	0	1	test262-derived
deny-import-meta-comment	valid	deny	0	0	0	1	capsule-review
deny-template-interpolation	valid	deny	0	0	1	0	mandatory-scanner-counterexample
deny-regex-division-scanner-stop	valid	deny	0	0	1	0	mandatory-m1-scanner-stop
deny-import-attributes	valid	deny	1	0	0	0	test262-derived
deny-export-namespace-from	valid	deny	0	1	0	0	test262-derived
parse-error-unterminated-string	parse_error	deny	0	0	0	0	capsule
parse-error-recovery-before-import	parse_error	deny	0	0	0	0	parser-recovery-control
parse-error-empty-dynamic-import	parse_error	deny	0	0	0	0	test262-derived
parse-error-import-binding	parse_error	deny	0	0	0	0	test262-derived
parse-error-duplicate-export	parse_error	deny	0	0	0	0	test262:test/language/module-code/early-dup-export-id.js
parse-error-duplicate-lexical	parse_error	deny	0	0	0	0	test262:test/language/module-code/early-dup-lex.js
restore-static-import	valid	deny	1	0	0	0	mutation-restoration
restore-export-from	valid	deny	0	1	0	0	mutation-restoration
restore-dynamic-import	valid	deny	0	0	1	0	mutation-restoration
restore-import-meta	valid	deny	0	0	0	1	mutation-restoration
